_ - _ - id,_ - _ - active,_ - _ - subtype,_ - _ - place_name,_ - _ - subcategory,_ - _ - place_address,_ - _ - place_type_id,_ - _ - place_latitude,_ - _ - place_longitude,_ - _ - place_type_name
E08490,1,estacion,"E08490 · Servicio Atlapexco, S.A. de C.V.",Estación,"Carretera Atlapexco-Huautla Km. 114, Col. S/C",3,21.010890,-98.335360,estacion
E09932,1,estacion,E09932 · Irma Eloisa Nava Reyes,Estación,"Carretera Tuxpan - Tampico Km. 6.5, Col. Amatlan - Naranjos Tramo Carretero",3,21.311326,-97.737384,estacion
E01449,1,estacion,"E01449 · Gasolineria y Servicios la Villa, S.A. de C.V.",Estación,"Carrt. Panamericana Km.900, Col. .",3,23.844380,-104.241940,estacion
E07731,1,estacion,"E07731 · Multiservicios Murillo, S.A. de C.V.",Estación,"Carretera Panamericana Km. 162.5, Col. S/C",3,23.638850,-103.643060,estacion
E10862,1,estacion,"E10862 · Gasolinera Gonzalez Ortega, S.A. de C.V.",Estación,"Camino Gonzalez Ortega Rio Grande No. 74, Col. Gonzalez Ortega",3,23.957310,-103.436840,estacion
E08945,1,estacion,"E08945 · Multiservicios Murillo, S.A. de C.V.",Estación,"Carr.Panamericana-Fresnillo Sombrerete Km.122+135, Col. S/C",3,23.579360,-103.273470,estacion
E02458,1,estacion,"E02458 · Distribuidora de Combustibles de Zacatecas, S.A. de C.V.",Estación,"Km.62.4 Carr.A Torreon, Col. .",3,23.835206,-103.052549,estacion
E02552,1,estacion,"E02552 · Servicio las Palmas de Fresnillo, SA de CV",Estación,"Km 739.5 Carret. Panamericana Ent. Durango-Torreon, Col. .",3,23.298019,-102.958422,estacion
E02449,1,estacion,"E02449 · Grupo Molmer, SA de CV",Estación,"Carretera Panamericana Km. 64, Col. .",3,23.173721,-102.917880,estacion
E11589,1,estacion,E11589 · Luis Fernando Arias Ochoa,Estación,"Avenida Plateros No. 902, Col. Solidaridad",3,23.194316,-102.860223,estacion
E07530,1,estacion,"E07530 · Gasolinera Madero, S.A. de C.V.",Estación,"Carrt. 45 Panamericana Km 700, Col. S/C",3,23.024835,-102.757876,estacion
E12382,1,estacion,"E12382 · Multiservicio la Plata, S.A. de C.V.",Estación,"Vialidad Arroyo de la Plata No. 77, Col. Zona Industrial",3,22.743770,-102.505692,estacion
E08306,1,estacion,"E08306 · Grupo Gasolinero Rivas, S.A. de C.V.",Estación,"Carretera a El Orito # 110, Col. S/C",3,22.755893,-102.594968,estacion
E09526,1,estacion,E09526 · Gasislo 2000 S. A. de C. V.,Estación,"Carretera Guadalajara - Zacatecas No. 108, Col. La Escondida",3,22.773402,-102.628529,estacion
E06627,1,estacion,"E06627 · Ganaderos Unidos Del Estado de Zacatecas, S.A. de C.V.",Estación,"Carrt. Santa Monica-Pozo de Gamboa Km 37+000, Col. S/D",3,22.940290,-102.555963,estacion
E11233,1,estacion,"E11233 · Muradas, S.A. de C.V.",Estación,"Av. Aguascalientes No 621, Col. Espa$A",3,21.862479,-102.317587,estacion
E03276,1,estacion,"E03276 · Servicios Gasolineros de Mexico, S.A. de C.V.",Estación,"Calle Roma No. 242, Col. .",3,21.872283,-102.317831,estacion
E02468b,1,estacion,"E02468b · Super Servicio Davila, S.A. de C.V.",Estación,"L Mateos y Circunvalacion, Col. .",3,21.877731,-102.270829,estacion
E01107,1,estacion,"E01107 · Servicio Martin, S.A.de C.V.",Estación,"General Barragan No. 457 y 459, Col. Centro",3,21.889472,-102.288816,estacion
E02455,1,estacion,E02455 · Hugo Tiscareño Alonso,Estación,"Carret. Panam. Km. 613, Col. .",3,22.560257,-102.252101,estacion
E06484,1,estacion,E06484 · Gasolinera Del Nayar S.A. de C.V.,Estación,"Carrt. a Los Charcos # 612 Pte. Km 2, Col. S/D",3,21.810246,-105.225452,estacion
E02394,1,estacion,"E02394 · Servicio Briseno de Tuxpan Nayarit, S.A. de C.V.",Estación,"Constitucion E Independencia 506, Col. Centro",3,21.943471,-105.297483,estacion
E12207,1,estacion,E12207 · Ivan de Jesus Fonseca Robles,Estación,"Boulevard Tecuala-Filo Al Sur No. 547, Col. Mancillas Sn. Felipe",3,22.390645,-105.454770,estacion
E06229,1,estacion,"E06229 · Servicio Iq Del Valle, S.A. de C.V.",Estación,"Gabriel Leyva # 118, Col. Loc. Teacapan",3,22.544710,-105.740330,estacion
E06688,1,estacion,"E06688 · Gasolinera Condesa, S.A. de C.V.",Estación,"Nacional # 50, Col. S/D",3,21.686120,-103.805380,estacion
E02782,1,estacion,"E02782 · Servicio Sandoval, S.A. de .C.V.",Estación,"Av.Juarez Es.Niños Heroes, Col. .",3,21.929867,-103.440809,estacion
E07130,1,estacion,E07130 · Diaz Diaz Doroteo,Estación,"Carrt. Huejucar-Monte Escobedo Km 16, Col. Rancho San Rafael",3,22.3282,-103.314070,estacion
E02442,1,estacion,E02442 · Maria Elena Flores Acevedo,Estación,"Km 28 Carretera Malpaso-Jerez-Sanchez Roman., Col. .",3,22.631814,-103.000724,estacion
E05197,1,estacion,"E05197 · Combustibles de Villanueva, SA de CV",Estación,"Prolg. Pascual Santoyo No. 76, Col. .",3,22.341968,-102.879368,estacion
E11101,1,estacion,"E11101 · Servicio la Panadera, S.A. de C.V.",Estación,"Carretera Aguascalientes-Jalapa Km. 46+600, Col. .",3,21.863123,-102.693191,estacion
E07653,1,estacion,"E07653 · Servicios Osnar, S.A. de C.V.",Estación,"Av. Insurgentes No. 769 Pte., Col. Centro",3,21.515784,-104.912480,estacion
E06748,1,estacion,"E06748 · Autoservicio las Viboras, S.A. de C.V.",Estación,"Aut. Tepic-Mazatlan Km 1 # 361 Provisional, Col. Guadalupe",3,21.527141,-104.930310,estacion
